"ONTOLOGY" "Term" "N" "DE" "P.DE" "FDR"
"GO:0034220" "BP" "monoatomic ion transmembrane transport" 972 639 2.16585757146291e-09 3.34728837277322e-07
"GO:0072073" "BP" "kidney epithelium development" 145 123 2.18131403127861e-09 3.34824284365787e-07
"GO:0030335" "BP" "positive regulation of cell migration" 542 371 3.70983898574968e-09 5.58335237141073e-07
"GO:0007169" "BP" "transmembrane receptor protein tyrosine kinase signaling pathway" 610 424 3.94221326433707e-09 5.89086755605971e-07
"GO:0098660" "BP" "inorganic ion transmembrane transport" 879 581 4.00426168944840e-09 5.94422110267853e-07
"GO:0043062" "BP" "extracellular structure organization" 308 229 4.17204846789308e-09 6.1528170999699e-07
"GO:0030198" "BP" "extracellular matrix organization" 307 228 4.90586837242174e-09 7.18805285424183e-07
"GO:0051960" "BP" "regulation of nervous system development" 444 328 5.49787722578479e-09 8.00349043371664e-07
"GO:0098657" "BP" "import into cell" 892 593 5.84517613110896e-09 8.45452270656042e-07
"GO:0051241" "BP" "negative regulation of multicellular organismal process" 1175 739 6.15797186543597e-09 8.85022147590428e-07
"GO:0098609" "BP" "cell-cell adhesion" 913 599 6.34678408511552e-09 9.06385038585738e-07
"GO:0060485" "BP" "mesenchyme development" 309 234 6.95299997156982e-09 9.8671378212894e-07
"GO:0055085" "BP" "transmembrane transport" 1469 923 7.79976864943866e-09 1.09996237378709e-06
"GO:0007015" "BP" "actin filament organization" 441 317 8.25567715838627e-09 1.15702546212315e-06
"GO:0070588" "BP" "calcium ion transmembrane transport" 336 242 8.86462981752383e-09 1.23470066174449e-06
"GO:0060322" "BP" "head development" 723 508 1.03251268299885e-08 1.42930160608503e-06
"GO:0098655" "BP" "monoatomic cation transmembrane transport" 811 537 1.04073542819586e-08 1.43189964645192e-06
"GO:0045229" "BP" "external encapsulating structure organization" 309 228 1.06079041496046e-08 1.45064696504047e-06
"GO:0048584" "BP" "positive regulation of response to stimulus" 2184 1336 1.10848816069985e-08 1.50674258180912e-06
"GO:0040007" "BP" "growth" 877 590 1.40031709298635e-08 1.89202125066731e-06
"GO:0003012" "BP" "muscle system process" 437 306 1.4448937042734e-08 1.94062985376339e-06
"GO:0007420" "BP" "brain development" 677 477 1.52407520334763e-08 2.03486585138082e-06
"GO:0048706" "BP" "embryonic skeletal system development" 126 109 1.62055689094996e-08 2.13837694078333e-06
"GO:0008284" "BP" "positive regulation of cell population proliferation" 1211 781 1.69223816440076e-08 2.20714808910628e-06
"GO:0030855" "BP" "epithelial cell differentiation" 708 467 1.83305015679415e-08 2.3770657320634e-06
"GO:0048839" "BP" "inner ear development" 192 152 1.95001292019049e-08 2.51429094463876e-06
"GO:0090066" "BP" "regulation of anatomical structure size" 483 340 2.20081705716445e-08 2.82154750442378e-06
"GO:0048589" "BP" "developmental growth" 628 436 2.42081797435346e-08 3.0687267850175e-06
"GO:0031589" "BP" "cell-substrate adhesion" 342 251 2.54227131945995e-08 3.2046821258265e-06
"GO:0007517" "BP" "muscle organ development" 340 249 2.60262240245467e-08 3.2625317716104e-06
"GO:0051924" "BP" "regulation of calcium ion transport" 239 175 2.72551102671803e-08 3.39770335949534e-06
"GO:0098662" "BP" "inorganic cation transmembrane transport" 792 522 2.85357709120038e-08 3.5378084332882e-06
"GO:0001823" "BP" "mesonephros development" 99 87 2.97221411566328e-08 3.64483909270795e-06
"GO:0072163" "BP" "mesonephric epithelium development" 95 84 3.05655072098156e-08 3.70795755205526e-06
"GO:0072164" "BP" "mesonephric tubule development" 95 84 3.05655072098156e-08 3.70795755205526e-06
"GO:0006936" "BP" "muscle contraction" 337 242 3.08217602422987e-08 3.71904918773919e-06
"GO:0001503" "BP" "ossification" 423 300 3.35251965671002e-08 4.02373689010664e-06
"GO:0003018" "BP" "vascular process in circulatory system" 261 192 3.42218898264691e-08 4.08562286796005e-06
"GO:0050767" "BP" "regulation of neurogenesis" 372 277 3.47042243147894e-08 4.12140061809951e-06
"GO:0072001" "BP" "renal system development" 315 236 3.68507887062241e-08 4.35340940506409e-06
"GO:0048732" "BP" "gland development" 429 308 3.83460797524189e-08 4.50646324757073e-06
"GO:0060541" "BP" "respiratory system development" 207 161 4.16331531010734e-08 4.84232199264237e-06
"GO:0001657" "BP" "ureteric bud development" 94 83 4.27581638488398e-08 4.94766773889858e-06
"GO:0000165" "BP" "MAPK cascade" 729 479 5.11463835002361e-08 5.85820810811841e-06
"GO:1901700" "BP" "response to oxygen-containing compound" 1717 1070 5.56322568587429e-08 6.3398295139428e-06
"GO:0019932" "BP" "second-messenger-mediated signaling" 295 212 6.61325623152529e-08 7.49856852302194e-06
"GO:1902531" "BP" "regulation of intracellular signal transduction" 1695 1062 7.13917553046575e-08 8.05441783347146e-06
"GO:0048705" "BP" "skeletal system morphogenesis" 226 177 7.43383719909658e-08 8.34512948061767e-06
"GO:0007610" "BP" "behavior" 625 430 8.4165600673459e-08 9.40154759205905e-06
"GO:0001667" "BP" "ameboidal-type cell migration" 470 323 8.56870462712954e-08 9.5243473500764e-06
"GO:0034330" "BP" "cell junction organization" 708 491 9.3469633160498e-08 1.03384745227131e-05
"GO:0070887" "BP" "cellular response to chemical stimulus" 2573 1541 9.7496641007772e-08 1.07312888180457e-05
"GO:0007507" "BP" "heart development" 596 415 1.0033420091843e-07 1.0976258836337e-05
"GO:0097435" "BP" "supramolecular fiber organization" 805 532 1.01035747778545e-07 1.0976258836337e-05
"GO:1904062" "BP" "regulation of monoatomic cation transmembrane transport" 297 212 1.01181609553187e-07 1.0976258836337e-05
"GO:0060560" "BP" "developmental growth involved in morphogenesis" 229 179 1.02531294189027e-07 1.10694551295751e-05
"GO:0001822" "BP" "kidney development" 305 227 1.18207595163632e-07 1.26409297501051e-05
"GO:0046903" "BP" "secretion" 920 595 1.19485792080648e-07 1.27173462854138e-05
"GO:0006810" "BP" "transport" 4233 2511 1.20552341867131e-07 1.27706246098119e-05
"GO:0034329" "BP" "cell junction assembly" 419 301 1.61944830274059e-07 1.69172368069623e-05
"GO:0055123" "BP" "digestive system development" 142 116 1.72290556252996e-07 1.79150419875235e-05
"GO:0030323" "BP" "respiratory tube development" 186 145 1.76212663489443e-07 1.82388189861275e-05
"GO:0048762" "BP" "mesenchymal cell differentiation" 253 191 1.95884788020111e-07 2.00906561676627e-05
"GO:0009952" "BP" "anterior/posterior pattern specification" 210 163 1.98897032008315e-07 2.03072969693919e-05
"GO:0042592" "BP" "homeostatic process" 1642 1016 2.50807132163111e-07 2.54919465321101e-05
"GO:0110110" "BP" "positive regulation of animal organ morphogenesis" 34 34 2.79017391787377e-07 2.81060197691534e-05
"GO:0051050" "BP" "positive regulation of transport" 854 553 2.99088593752486e-07 2.99939334641382e-05
"GO:0097553" "BP" "calcium ion transmembrane import into cytosol" 197 148 3.17208032106496e-07 3.13924650721534e-05
"GO:0008217" "BP" "regulation of blood pressure" 175 131 3.21051878248237e-07 3.16341248069573e-05
"GO:0051093" "BP" "negative regulation of developmental process" 936 604 3.27395554980338e-07 3.21189274025059e-05
"GO:0042476" "BP" "odontogenesis" 127 103 3.29059053117286e-07 3.21423743486513e-05
"GO:0072006" "BP" "nephron development" 151 122 3.75190158979255e-07 3.63338658678451e-05
"GO:0010033" "BP" "response to organic substance" 2668 1596 3.92687604653448e-07 3.78658252623948e-05
"GO:0050900" "BP" "leukocyte migration" 374 246 4.04044323160797e-07 3.8795132373618e-05
"GO:0009605" "BP" "response to external stimulus" 2537 1487 4.16450288690694e-07 3.9816882686512e-05
"GO:0072009" "BP" "nephron epithelium development" 115 96 4.57528251783613e-07 4.35597783681243e-05
"GO:2000027" "BP" "regulation of animal organ morphogenesis" 121 101 4.80854425990927e-07 4.55882322187365e-05
"GO:0030324" "BP" "lung development" 182 141 4.873099378045e-07 4.59769082370287e-05
"GO:0007200" "BP" "phospholipase C-activating G protein-coupled receptor signaling pathway" 101 80 4.89029337745386e-07 4.59769082370287e-05
"GO:0048638" "BP" "regulation of developmental growth" 307 224 5.09109886218141e-07 4.76662052806064e-05
"GO:0042471" "BP" "ear morphogenesis" 123 101 5.51678861185693e-07 5.14383546437767e-05
"GO:0022612" "BP" "gland morphogenesis" 119 98 6.07545237175809e-07 5.64142005417076e-05
"GO:0006935" "BP" "chemotaxis" 431 286 6.95369837953831e-07 6.35235830914585e-05
"GO:0030900" "BP" "forebrain development" 389 281 7.02228513626485e-07 6.38914684736613e-05
"GO:0042330" "BP" "taxis" 433 287 7.06869669182193e-07 6.40554506643655e-05
"GO:0070848" "BP" "response to growth factor" 720 480 7.40261506023085e-07 6.68130424876196e-05
"GO:0048565" "BP" "digestive tract development" 130 106 8.64226143992781e-07 7.73825345756076e-05
"GO:0071363" "BP" "cellular response to growth factor stimulus" 693 463 8.94032239485989e-07 7.97221514589149e-05
"GO:0021953" "BP" "central nervous system neuron differentiation" 174 139 9.17424985296754e-07 8.08624115946717e-05
"GO:0050878" "BP" "regulation of body fluid levels" 347 238 9.78982859873432e-07 8.56192606596283e-05
"GO:0048863" "BP" "stem cell differentiation" 240 181 1.01549384506321e-06 8.84695101158542e-05
"GO:0042472" "BP" "inner ear morphogenesis" 103 86 1.03982372603721e-06 9.02407021319373e-05
"GO:0048704" "BP" "embryonic skeletal system morphogenesis" 93 81 1.0586537312925e-06 9.15228459497468e-05
"GO:0048663" "BP" "neuron fate commitment" 73 65 1.07172329342261e-06 9.22991007358312e-05
"GO:0051962" "BP" "positive regulation of nervous system development" 271 203 1.15957038605122e-06 9.94849665051702e-05
"GO:0023061" "BP" "signal release" 463 317 1.40281701045246e-06 0.000119445898203205
"GO:0003007" "BP" "heart morphogenesis" 261 193 1.44093600206903e-06 0.000122230375754457
"GO:0015837" "BP" "amine transport" 106 85 1.45957787018198e-06 0.000123347996489836
"GO:0006937" "BP" "regulation of muscle contraction" 163 123 1.49023309409685e-06 0.00012546872960896
"GO:0007204" "BP" "positive regulation of cytosolic calcium ion concentration" 162 120 1.60555674343846e-06 0.000134176971699798
"GO:0040008" "BP" "regulation of growth" 580 393 1.68510703141397e-06 0.000140305369213376
"GO:0042327" "BP" "positive regulation of phosphorylation" 624 413 1.74788967165591e-06 0.000144997729967809
"GO:0009611" "BP" "response to wounding" 532 356 1.95681117240319e-06 0.000161734385692694
"GO:0051234" "BP" "establishment of localization" 4422 2611 1.97003298772672e-06 0.000162232935529437
"GO:1903522" "BP" "regulation of blood circulation" 244 176 2.00015975733268e-06 0.000164114926416199
"GO:0120035" "BP" "regulation of plasma membrane bounded cell projection organization" 615 427 2.02728842404504e-06 0.000164545812950188
"GO:0031344" "BP" "regulation of cell projection organization" 630 436 2.07236524507119e-06 0.000167003033534951
"GO:0045766" "BP" "positive regulation of angiogenesis" 178 130 2.14175602738326e-06 0.00017137086170878
"GO:1904018" "BP" "positive regulation of vasculature development" 178 130 2.14175602738326e-06 0.00017137086170878
