"ONTOLOGY" "Term" "N" "DE" "P.DE" "FDR"
"GO:0000819" "BP" "sister chromatid segregation" 219 21 0.998096941095707 1
"GO:0000820" "BP" "regulation of glutamine family amino acid metabolic process" 8 1 0.707418839845843 1
"GO:0000821" "BP" "regulation of arginine metabolic process" 4 1 0.475133781293904 1
"GO:0000902" "BP" "cell morphogenesis" 904 206 0.0566529264010723 1
"GO:0000910" "BP" "cytokinesis" 178 25 0.84344851406016 1
"GO:0000912" "BP" "assembly of actomyosin apparatus involved in cytokinesis" 9 1 0.818537845411658 1
"GO:0000915" "BP" "actomyosin contractile ring assembly" 9 1 0.818537845411658 1
"GO:0000916" "BP" "actomyosin contractile ring contraction" 1 0 0.999999999988027 1
"GO:0000917" "BP" "division septum assembly" 1 0 0.999999999934013 1
"GO:0000921" "BP" "septin ring assembly" 1 0 0.999999999990868 1
"GO:0000956" "BP" "nuclear-transcribed mRNA catabolic process" 124 11 0.989917987141045 1
"GO:0000957" "BP" "mitochondrial RNA catabolic process" 6 0 1 1
"GO:0000958" "BP" "mitochondrial mRNA catabolic process" 3 0 1 1
"GO:0000959" "BP" "mitochondrial RNA metabolic process" 51 1 0.999475062265659 1
"GO:0000960" "BP" "regulation of mitochondrial RNA catabolic process" 5 0 1 1
"GO:0000961" "BP" "negative regulation of mitochondrial RNA catabolic process" 2 0 1 1
"GO:0000962" "BP" "positive regulation of mitochondrial RNA catabolic process" 3 0 1 1
"GO:0000963" "BP" "mitochondrial RNA processing" 20 0 1 1
"GO:0000964" "BP" "mitochondrial RNA 5'-end processing" 3 0 1 1
"GO:0000965" "BP" "mitochondrial RNA 3'-end processing" 5 0 1 1
"GO:0000966" "BP" "RNA 5'-end processing" 21 3 0.58202351966579 1
"GO:0000967" "BP" "rRNA 5'-end processing" 5 1 0.639883254087648 1
"GO:0000968" "BP" "tRNA exon ligation" 1 0 0.999999999949566 1
"GO:0000971" "BP" "tRNA exon ligation utilizing 2',3' cyclic phosphate of 5'-exon as source of linkage phosphate" 1 0 0.999999999949566 1
"GO:0000972" "BP" "transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery" 7 0 1 1
"GO:0000973" "BP" "post-transcriptional tethering of RNA polymerase II gene DNA at nuclear periphery" 3 0 1 1
"GO:0001079" "BP" "nitrogen catabolite regulation of transcription from RNA polymerase II promoter" 1 0 0.999999999960254 1
"GO:0001080" "BP" "nitrogen catabolite activation of transcription from RNA polymerase II promoter" 1 0 0.999999999960254 1
"GO:0001100" "BP" "negative regulation of exit from mitosis" 1 0 0.999999999977961 1
