"ONTOLOGY" "Term" "N" "DE" "P.DE" "FDR"
"GO:0000971" "BP" "tRNA exon ligation utilizing 2',3' cyclic phosphate of 5'-exon as source of linkage phosphate" 1 1 0.448226775268225 1
"GO:0000972" "BP" "transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery" 7 1 0.998100197588467 1
"GO:0000973" "BP" "post-transcriptional tethering of RNA polymerase II gene DNA at nuclear periphery" 3 0 1 1
"GO:0001079" "BP" "nitrogen catabolite regulation of transcription from RNA polymerase II promoter" 1 1 0.454793379206826 1
"GO:0001080" "BP" "nitrogen catabolite activation of transcription from RNA polymerase II promoter" 1 1 0.454793379206826 1
"GO:0001100" "BP" "negative regulation of exit from mitosis" 1 1 0.510598991986073 1
"GO:0001101" "BP" "response to acid chemical" 129 78 0.307860755972906 1
"GO:0001109" "BP" "promoter clearance during DNA-templated transcription" 3 1 0.836299609660582 1
"GO:0001111" "BP" "RNA polymerase II promoter clearance" 3 1 0.836299609660582 1
"GO:0001112" "BP" "DNA-templated transcription open complex formation" 2 0 1 1
"GO:0001113" "BP" "transcription open complex formation at RNA polymerase II promoter" 1 0 1 1
"GO:0001120" "BP" "protein-DNA complex remodeling" 2 0 1 1
"GO:0001172" "BP" "RNA-templated transcription" 3 1 0.93415920434668 1
"GO:0001173" "BP" "DNA-templated transcriptional start site selection" 2 0 1 1
"GO:0001174" "BP" "transcriptional start site selection at RNA polymerase II promoter" 2 0 1 1
"GO:0001178" "BP" "regulation of transcriptional start site selection at RNA polymerase II promoter" 1 0 1 1
"GO:0001188" "BP" "RNA polymerase I preinitiation complex assembly" 8 3 0.908692257073577 1
"GO:0001192" "BP" "maintenance of transcriptional fidelity during transcription elongation" 1 0 1 1
"GO:0001193" "BP" "maintenance of transcriptional fidelity during transcription elongation by RNA polymerase II" 1 0 1 1
"GO:0001325" "BP" "formation of extrachromosomal circular DNA" 13 4 0.991811935909759 1
"GO:0001408" "BP" "guanine nucleotide transport" 8 4 0.794732884786387 1
"GO:0001501" "BP" "skeletal system development" 511 383 3.55183319436008e-13 1.2926381322184e-10
"GO:0001502" "BP" "cartilage condensation" 19 15 0.0612485529429097 0.57848989058343
"GO:0001503" "BP" "ossification" 423 300 3.35251965671002e-08 4.02373689010664e-06
"GO:0001504" "BP" "neurotransmitter uptake" 44 39 6.10974852816165e-05 0.00319225166044771
"GO:0001505" "BP" "regulation of neurotransmitter levels" 180 135 3.47470349903827e-05 0.00196992989327386
"GO:0001507" "BP" "acetylcholine catabolic process in synaptic cleft" 2 2 0.374456645968031 1
"GO:0001508" "BP" "action potential" 139 99 0.00208437152769303 0.0550079054396089
"GO:0001510" "BP" "RNA methylation" 87 35 0.982862899741337 1
"GO:0001514" "BP" "selenocysteine incorporation" 10 6 0.487439612391515 1
"GO:0001516" "BP" "prostaglandin biosynthetic process" 31 17 0.279664226344179 1
"GO:0001519" "BP" "peptide amidation" 2 1 0.826624293973994 1
"GO:0001522" "BP" "pseudouridine synthesis" 17 2 0.999885068791616 1
"GO:0001523" "BP" "retinoid metabolic process" 82 46 0.114093234621256 0.799254810926425
"GO:0001525" "BP" "angiogenesis" 581 411 5.77093765825838e-13 2.03461620813972e-10
"GO:0001539" "BP" "cilium or flagellum-dependent cell motility" 153 85 0.249323340978571 1
"GO:0001541" "BP" "ovarian follicle development" 54 36 0.0499119493151419 0.515901614451151
"GO:0001542" "BP" "ovulation from ovarian follicle" 8 4 0.764991136692503 1
